Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:146/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.685,0.171,0.010,255,255
t:147/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,1.165,0.166,0.017,255,255
t:148/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,0.928,0.186,0.014,255,255
t:149/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,0.896,0.179,0.013,255,255
t:150/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,0.858,0.172,0.013,255,255
t:151/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,0.806,0.161,0.012,255,255
t:152/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,1.030,0.172,0.015,255,255
t:153/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,3,0.685,0.228,0.010,255,255
t:154/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.634,0.158,0.009,255,255
t:155/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.499,0.125,0.007,255,255
t:156/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,3,0.339,0.113,0.005,255,255
t:157/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,3,0.333,0.111,0.005,255,255
t:158/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,3,0.435,0.145,0.006,255,255
t:159/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.531,0.133,0.008,255,255
t:160/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,0.845,0.141,0.013,255,255
t:161/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,0.710,0.118,0.011,255,255
t:162/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,0.794,0.132,0.012,255,255
t:163/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.634,0.158,0.009,255,255
t:164/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,3,0.352,0.117,0.005,255,255
