Image;Experiment;date aquired;tubule number;Endosomes size;Max length;Frames;Lifetime
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;114;0,417;0,777;10;10
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;115;0,695;0,894;13;13
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;116;0,769;0,557;8;8
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;117;0,536;1,337;12;12
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;118;0,503;1,317;18;18
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;3;05.09.2018;119;0,587;0,793;15;15
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;120;0,474;1,027;18;18
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;121;0,635;0,498;8;8
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;122;0,812;0,591;11;11
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;123;0,536;0,318;3;3
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;124;0,591;0,44;11;11
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;125;0,529;0,474;8;8
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;126;0,627;0,758;3;3
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;127;0,726;1,538;19;19
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;128;1,004;1,072;10;10
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;3;05.09.2018;129;0,617;1,588;14;14
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;130;0,512;0,358;8;8
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;131;0,566;0,577;16;16
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;132;0,66;0,453;9;9
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;133;0,431;0,4;3;3
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;134;0,684;0,738;8;8
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;135;0,64;0,804;16;16
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;136;0,64;0,865;10;10
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;137;0,48;0,408;9;9
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;138;0,577;0,609;5;5
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;139;0,453;0,905;5;5
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;140;0,48;0,8;9;9
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;3;05.09.2018;141;0,512;0,625;5;5
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;142;0,758;0,474;10;10
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;143;0,671;0,949;4;4
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;144;0,536;1,114;17;17
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;145;1,227;0,985;9;9
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;146;0,44;0,868;13;13
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;147;0,881;0,564;10;10
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;148;0,44;0,872;19;19
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;149;0,536;1,149;10;10
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;150;0,617;1,031;10;10
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;151;0,591;0,936;9;9
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;152;0,812;0,44;9;9
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;153;0,635;0,812;9;9
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;154;0,671;1,185;17;17
RPE_Cherry-WDFY2-2xFYVE_04_D3D.dv;3;05.09.2018;155;0,564;0,907;5;5
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;156;0,705;0,352;7;7
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;157;0,514;0,614;7;7
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;158;0,949;0,793;8;8
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;159;0,529;0,557;6;6
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;160;0,474;0,812;10;10
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;161;0,279;0,719;13;13
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;162;0,557;0,831;29;29
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;163;1,5;1,434;6;6
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;164;0,325;0,623;9;9
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;165;0,363;0,812;20;20
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;166;0,352;0,71;5;5
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;167;0,564;0,788;27;27
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;168;1,064;0,997;22;22
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;169;0,617;0,705;5;5
RPE_Cherry-WDFY2-2xFYVE_05_D3D.dv;3;05.09.2018;170;0,474;1,27;8;8
